stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
DELATR-E,25487,"DE LATTRE",,47.452337,-0.541852,,,0,place_DLATTR,,1
DELATTAS,27760,"DE LATTRE",,47.453364,-0.541200,,,0,place_DELATT,,1
DELATTRE,10046,"DE LATTRE",,47.452609,-0.541648,,,0,place_DLATTR,,1
DELESC-E,22260,"DELESCLUZE",,47.466048,-0.605045,,,0,place_DELESC,,1
DELESCL,27348,"DELESCLUZE",,47.466083,-0.604892,,,0,place_DELESC,,1
DESCAZ-E,25148,"DESCAZEAUX",,47.476786,-0.566113,,,0,place_DSCAZE,,1
DESCAZEA,5599,"DESCAZEAUX",,47.477432,-0.565945,,,0,place_DSCAZE,,1
DESER-E,60376,"DE SERRE",,47.477763,-0.614765,,,0,place_DESERR,,0
DESERRE,25513,"DE SERRE",,47.477786,-0.615330,,,0,place_DESERR,,0
DESJARDI,18446,"DESJARDINS",,47.477948,-0.530275,,,0,place_DESJAR,,1
DESJAR-E,8104,"DESJARDINS",,47.477862,-0.530132,,,0,place_DESJAR,,1
DESMAZ,15401,"DESMAZIERES",,47.462542,-0.534526,,,0,place_DESMAZ,,1
DESMAZ-E,15428,"DESMAZIERES",,47.462647,-0.535002,,,0,place_DESMAZ,,1
DEUVAL,17151,"DEUX VALLÉES",,47.568307,-0.498900,,,0,place_DEUVAL,,0
DEUVAL-E,575510,"DEUX VALLÉES",,47.568263,-0.498745,,,0,place_DEUVAL,,0
DEUXCR,12239,"DAGUENET",,47.474811,-0.528444,,,0,place_DXCRX,,1
DEUXCR-E,19319,"DAGUENET",,47.474758,-0.527973,,,0,place_DXCRX,,1
DEZIE AR,19310,"AVRILLE ADEZIERE",,47.504950,-0.605053,,,0,place_DZIERE,,1
DGELIN-E,81163,"DANIEL GELIN",,47.445152,-0.527125,,,0,place_DANIEL,,1
DIONNEAU,28948,"DIONNEAU",,47.438788,-0.530002,,,0,place_DIONNE,,1
DIONNE-E,9126,"DIONNEAU",,47.438786,-0.530247,,,0,place_DIONNE,,1
DIONNI-E,28803,"DIONNIERE",,47.543693,-0.485056,,,0,place_DIONNI,,0
DIONNIER,4977,"DIONNIERE",,47.543693,-0.485056,,,0,place_DIONNI,,0
DIX8JU-E,22297,"18 JUIN MONTREUIL",,47.529605,-0.618041,,,0,place_DIX8JU,,0
DIX8JUI,2997,"18 JUIN MONTREUIL",,47.529528,-0.618128,,,0,place_DIX8JU,,0
DOLANTIN,225971,"DOLANTINES",,47.527976,-0.445027,,,0,place_DOLANT,,0
DOMETA-E,21363,"ROUTE DE L'ETANG",,47.507896,-0.607365,,,0,place_RTET,,0
DOMETANG,19431,"ROUTE DE L'ETANG",,47.507159,-0.607730,,,0,place_RTET,,0
DOMVAL,15402,"DOMAINE DU VAL",,47.537042,-0.625043,,,0,place_DOMVAL,,1
DOMVAL-E,366109,"DOMAINE DU VAL",,47.536901,-0.624975,,,0,place_DOMVAL,,0
DOMVATER,266184,"DOMAINE DU VAL",,47.536656,-0.624831,,,0,place_DOMVAL,,1
DOUBLO-E,692318,"LA DOUBLONNIERE",,47.403721,-0.668764,,,0,place_DOUBLO,,0
DOUBLONI,448269,"LA DOUBLONNIERE",,47.403753,-0.668843,,,0,place_DOUBLO,,0
DOYENNE,24995,"DOYENNE",,47.490608,-0.532581,,,0,place_DOYENN,,1
DOYENN-E,10951,"DOYENNE",,47.490584,-0.532206,,,0,place_DOYENN,,0
DSBA-ENT,11739,"ZI EST",,47.475329,-0.495720,,,0,place_COTRA,,1
DSBAR-CV,2951,"ZI EST",,47.475293,-0.495581,,,0,place_COTRA,,1
DSCASUB,661157,"DESCAZEAUX SUB",,47.476912,-0.567311,,,0,place_DSCAZE,,0
DSCAZEAU,24278,"DESCAZEAUX",,47.476515,-0.566920,,,0,place_DSCAZE,,1
DSCAZE-E,25257,"DESCAZEAUX",,47.476226,-0.565892,,,0,place_DSCAZE,,1
DUBE,11379,"DUBE",,47.415859,-0.523038,,,0,place_DUBE,,1
DUBE  -E,12097,"DUBE",,47.415415,-0.523316,,,0,place_DUBE,,1
DUBELLAY,3061,"DU BELLAY",,47.492473,-0.513379,,,0,place_DUBELL,,0
DUBELL-E,3812,"DU BELLAY",,47.492176,-0.513243,,,0,place_DUBELL,,0
DUMESN-E,5561,"DUMESNIL",,47.473815,-0.566934,,,0,place_DUMESN,,1
DUMESNIL,4581,"DUMESNIL",,47.473659,-0.567300,,,0,place_DUMESN,,1
DUMNACUS,23298,"DUMNACUS",,47.486392,-0.592077,,,0,place_DUMNAC,,0
DUNAN,19081,"DUNANT",,47.483529,-0.525567,,,0,place_DUNLEP,,1
DUNAN-E,14642,"DUNANT",,47.483348,-0.525681,,,0,place_DUNLEP,,1
DUREL1-E,749082,"DURELLERIES 1",,47.428923,-0.641367,,,0,place_DURELL,,0
DUREL2-E,631634,"DURELLERIES 2",,47.431119,-0.641869,,,0,place_DUREL2,,0
DURELLE1,530721,"DURELLERIES 1",,47.428933,-0.641212,,,0,place_DURELL,,0
DURELLE2,489663,"DURELLERIES 2",,47.431100,-0.641738,,,0,place_DUREL2,,0
DURVIL-E,22678,"DUMONT D'URVILLE",,47.445056,-0.557235,,,0,place_DUMONT,,1
DURVILLE,28495,"DUMONT D'URVILLE",,47.445205,-0.557177,,,0,place_DUMONT,,1
EBEAUP-E,9811,"EBEAUPIN",,47.464415,-0.624810,,,0,place_EBEAUP,,0
EBEAUPIN,22853,"EBEAUPIN",,47.464338,-0.624740,,,0,place_EBEAUP,,0
EBLE,18451,"EBLE",,47.455317,-0.566319,,,0,place_EBLE,,1
EBLE  -E,18302,"EBLE",,47.455383,-0.566308,,,0,place_EBLE,,1
ECHATS,24869,"ECHATS",,47.480706,-0.632067,,,0,place_ECHATS,,1
ECHATS-E,30592,"ECHATS",,47.481018,-0.631917,,,0,place_ECHATS,,1
ECHMA-E,30440,"ECHMAN",,47.490228,-0.575637,,,0,place_ECHMA,,1
ECHMAN,20511,"ECHMAN",,47.490175,-0.575806,,,0,place_ECHMA,,1
ECLATE-E,15952,"ECLATERIES",,47.451073,-0.519982,,,0,place_ECLATE,,1
ECLATERI,28347,"ECLATERIES",,47.451199,-0.519733,,,0,place_ECLATE,,1
ECOANDAR,621938,"ECOLE ANDARD",,47.457398,-0.398655,,,0,place_ECOAND,,0
ECOAND-E,792101,"ECOLE ANDARD",,47.457399,-0.398642,,,0,place_ECOAND,,0
ECOBAU-A,548823,"ECOLE DE BAUNE",,47.503086,-0.316172,,,0,place_ECOP,,0
ECOBAU-D,366802,"ECOLE DE BAUNE",,47.503093,-0.316221,,,0,place_ECOP,,0
ECOTIE-E,24531,"ECOTIERE",,47.363601,-0.505626,,,0,place_ECOTIE,,0
ECOTIERE,28731,"ECOTIERE",,47.363515,-0.505663,,,0,place_ECOTIE,,0
ECPRVI,986309,"ECOLE PRIMAIRE VILLEVEQUE",,47.559407,-0.424159,,,0,place_ECPRVI,,0
ECUIL-E,3439,"ECUILLE",,47.616502,-0.560938,,,0,place_ECUILL,,0
ECUILL,3505,"ECUILLE",,47.616506,-0.560967,,,0,place_ECUILL,,0
EDF,6009,"BERGERIE",,47.487553,-0.471236,,,0,place_BERGER,,0
EDF-E,16211,"BERGERIE",,47.487435,-0.471269,,,0,place_BERGER,,0
EGLTRE-E,1318,"EGLISE DE TRELAZE",,47.445443,-0.464612,,,0,place_EGTREL,,1
EGLTRELA,208,"EGLISE DE TRELAZE",,47.445574,-0.464941,,,0,place_EGTREL,,1
ELYSEE,18951,"ÉLYSÉE",,47.473576,-0.584617,,,0,place_ELYSEE,,0
ELYSEE-E,20767,"ÉLYSÉE",,47.473672,-0.584940,,,0,place_ELYSEE,,0
EMPIRE,15565,"EMPIRE",,47.423122,-0.592835,,,0,place_EMPIRE,,0
EMPIRE-E,15466,"EMPIRE",,47.422909,-0.593306,,,0,place_EMPIRE,,0
