route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
BALA,BALA_01-L-Ma-J-V-1-SCOL17-1111100,4536798,"RALLIEMENT",0,1286853,BALA0049,1
BALA,BALA_01-L-Ma-J-V-1-SCOL17-1111100,4536799,"RALLIEMENT",0,1286853,BALA0049,1
BALA,BALA_01-L-Ma-J-V-1-SCOL17-1111100,4536800,"RALLIEMENT",0,1286853,BALA0049,1
BALA,BALA_01-L-Ma-J-V-1-SCOL17-1111100,4536809,"RALLIEMENT",0,1286853,BALA0049,1
BALA,BALA_01-L-Ma-J-V-1-SCOL17-1111100,4536801,"RALLIEMENT",0,1286853,BALA0049,1
BALA,BALA_01-L-Ma-J-V-1-SCOL17-1111100,4536802,"RALLIEMENT",0,1286853,BALA0049,1
BALA,BALA_01-L-Ma-J-V-1-SCOL17-1111100,4536803,"RALLIEMENT",0,1286853,BALA0049,1
BALA,BALA_01-L-Ma-J-V-1-SCOL17-1111100,4536804,"RALLIEMENT",0,1286853,BALA0049,1
BALA,BALA_01-L-Ma-J-V-1-SCOL17-1111100,4536805,"RALLIEMENT",0,1286853,BALA0049,1
BALA,BALA_01-L-Ma-J-V-1-SCOL17-1111100,4536806,"RALLIEMENT",0,1286853,BALA0049,1
BALA,BALA_01-L-Ma-J-V-1-SCOL17-1111100,4536807,"RALLIEMENT",0,1286853,BALA0049,1
BALA,BALA_01-L-Ma-J-V-1-SCOL17-1111100,4536808,"FOCH MAISON BLEUE",0,1286853,BALA0045,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536643,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536745,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536753,"RALLIEMENT",0,1286850,BALA0047,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536755,"RALLIEMENT",0,1286851,BALA0047,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536699,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536644,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536744,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536749,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536701,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536645,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536748,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536750,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536698,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536646,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536743,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536752,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536700,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536647,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536742,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536751,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536696,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536648,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536740,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536741,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536697,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536649,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536747,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536754,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536695,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536650,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536746,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536694,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536651,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536693,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536652,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536692,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536653,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536703,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536654,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536704,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536655,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536702,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536656,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536708,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536657,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536707,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536658,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536709,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536659,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536706,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536660,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536705,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536661,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536710,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536662,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536711,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536663,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536712,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536664,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536713,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536665,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536714,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536666,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536715,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536667,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536716,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536668,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536717,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536669,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536718,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536670,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536719,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536671,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536720,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536672,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536721,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536673,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536722,"RALLIEMENT",0,1286851,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536674,"RALLIEMENT",0,1286850,BALA0049,1
BALA,BALA_02-Mercredi-3-SCOL17-1111100,4536723,"RALLIEMENT",0,1286851,BALA0049,1
