service_id,date,exception_type
L_36PS21-Lun-Sam-31-SUB2021-1111100,20210907,1
L_36PS21-Lun-Sam-31-SUB2021-1111110,20210907,1
L_37PS21-Lun-Sam-31-SUB2021-1111100,20210907,1
L_37PS21-Lun-Sam-31-SUB2021-1111110,20210907,1
L_38PS21-Lun-Sam-31-SUB2021-1101100,20210907,1
L_38PS21-Lun-Sam-31-SUB2021-1111100,20210907,1
L_38PS21-Lun-Sam-31-SUB2021-1111110,20210907,1
L_39PS21-Lun-Sam-31-SUB2021-1101100,20210907,1
L_39PS21-Lun-Sam-31-SUB2021-1111100,20210907,1
L_39PS21-Lun-Sam-31-SUB2021-1111110,20210907,1
L_41PS21-Lun-Sam-31-SUB2021-1111100,20210907,1
L_41PS21-Lun-Sam-31-SUB2021-1111110,20210907,1
L_42PS21-Lun-Sam-31-SUB2021-1111100,20210907,1
L_42PS21-Lun-Sam-31-SUB2021-1111110,20210907,1
L_43PS21-Lun-Sam-31-SUB2021-1101100,20210907,1
L_43PS21-Lun-Sam-31-SUB2021-1111100,20210907,1
L_43PS21-Lun-Sam-31-SUB2021-1111110,20210907,1
L_44PS21-Lun-Sam-31-SUB2021-1101100,20210907,1
L_44PS21-Lun-Sam-31-SUB2021-1111100,20210907,1
L_44PS21-Lun-Sam-31-SUB2021-1111110,20210907,1
L_45PS21-Lun-Sam-31-SUB2021-1111100,20210907,1
L_45PS21-Lun-Sam-31-SUB2021-1111110,20210907,1
L_46PS21-Semaine-31-SUB2021-1111100,20210907,1
Taxi_ls-Lun-Sam-1-SCOL17-1111110,20210907,1
BALA_02-Mercredi-3-SCOL17-1111100,20210908,1
J_A21v01-Semaine-1-2022H-1111100,20210908,1
J01v01-Semaine-1-2022H-1111100,20210908,1
J02v01-Semaine-1-2022H-0010000,20210908,1
J02v01-Semaine-1-2022H-1111100,20210908,1
J03v01-Semaine-1-2022H-1111100,20210908,1
J04v01-Semaine-1-2022H-0010000,20210908,1
J04v01-Semaine-1-2022H-1111100,20210908,1
J05v01-Semaine-1-2022H-1111100,20210908,1
J06v01-Semaine-1-2022H-1111100,20210908,1
J07v01-Semaine-1-2022H-1111100,20210908,1
J08v01-Semaine-1-2022H-1111100,20210908,1
J09v01-Semaine-1-2022H-1111100,20210908,1
J10v01-Semaine-1-2022H-1111100,20210908,1
J11v01-Semaine-1-2022H-1111100,20210908,1
J12v01-Semaine-1-2022H-1111100,20210908,1
J14v01-Semaine-1-2022H-1111100,20210908,1
N01s01-Lun-Sam-1-2022H-1111110,20210908,1
N02s01-Lun-Sam-1-2022H-1111110,20210908,1
N03s01-Lun-Sam-1-2022H-1111110,20210908,1
SCOL2122-Semaine-9-SCOL17-0010000,20210908,1
SCOL2122-Semaine-9-SCOL17-0010100,20210908,1
SCOL2122-Semaine-9-SCOL17-0111100,20210908,1
SCOL2122-Semaine-9-SCOL17-1111000,20210908,1
SCOL2122-Semaine-9-SCOL17-1111100,20210908,1
L_13PS21-Semaine-31-SUB2021-1111100,20210908,1
L_15PS21-Semaine-31-SUB2021-1111100,20210908,1
L_30PS21-Lun-Sam-31-SUB2021-1111100,20210908,1
L_30PS21-Lun-Sam-31-SUB2021-1111110,20210908,1
L_31PS21-Lun-Sam-31-SUB2021-1111100,20210908,1
L_31PS21-Lun-Sam-31-SUB2021-1111110,20210908,1
L_32PS21-Lun-Sam-31-SUB2021-1111100,20210908,1
L_32PS21-Lun-Sam-31-SUB2021-1111110,20210908,1
L_33PS21-Lun-Sam-31-SUB2021-1111100,20210908,1
L_33PS21-Lun-Sam-31-SUB2021-1111110,20210908,1
L_34PS21-Lun-Sam-31-SUB2021-1111100,20210908,1
L_34PS21-Lun-Sam-31-SUB2021-1111110,20210908,1
L_35PS21-Lun-Sam-31-SUB2021-1111100,20210908,1
L_35PS21-Lun-Sam-31-SUB2021-1111110,20210908,1
L_36PS21-Lun-Sam-31-SUB2021-0010000,20210908,1
L_36PS21-Lun-Sam-31-SUB2021-0010010,20210908,1
L_36PS21-Lun-Sam-31-SUB2021-1111100,20210908,1
L_36PS21-Lun-Sam-31-SUB2021-1111110,20210908,1
L_37PS21-Lun-Sam-31-SUB2021-1111100,20210908,1
L_37PS21-Lun-Sam-31-SUB2021-1111110,20210908,1
L_38PS21-Lun-Sam-31-SUB2021-0010000,20210908,1
L_38PS21-Lun-Sam-31-SUB2021-1111100,20210908,1
L_38PS21-Lun-Sam-31-SUB2021-1111110,20210908,1
L_39PS21-Lun-Sam-31-SUB2021-0010010,20210908,1
L_39PS21-Lun-Sam-31-SUB2021-1111100,20210908,1
L_39PS21-Lun-Sam-31-SUB2021-1111110,20210908,1
L_41PS21-Lun-Sam-31-SUB2021-1111100,20210908,1
L_41PS21-Lun-Sam-31-SUB2021-1111110,20210908,1
L_42PS21-Lun-Sam-31-SUB2021-1111100,20210908,1
L_42PS21-Lun-Sam-31-SUB2021-1111110,20210908,1
L_43PS21-Lun-Sam-31-SUB2021-0010010,20210908,1
L_43PS21-Lun-Sam-31-SUB2021-1111100,20210908,1
L_43PS21-Lun-Sam-31-SUB2021-1111110,20210908,1
L_44PS21-Lun-Sam-31-SUB2021-1111100,20210908,1
L_44PS21-Lun-Sam-31-SUB2021-1111110,20210908,1
L_45PS21-Lun-Sam-31-SUB2021-0010000,20210908,1
L_45PS21-Lun-Sam-31-SUB2021-1111100,20210908,1
L_45PS21-Lun-Sam-31-SUB2021-1111110,20210908,1
L_46PS21-Semaine-31-SUB2021-1111100,20210908,1
Taxi_ls-Lun-Sam-1-SCOL17-1111110,20210908,1
BALA_01-L-Ma-J-V-1-SCOL17-1111100,20210909,1
J_A21v01-Semaine-1-2022H-1111100,20210909,1
J01v01-Semaine-1-2022H-1111100,20210909,1
J02v01-Semaine-1-2022H-1111100,20210909,1
J03v01-Semaine-1-2022H-1111100,20210909,1
J04v01-Semaine-1-2022H-1111100,20210909,1
J05v01-Semaine-1-2022H-1111100,20210909,1
J06v01-Semaine-1-2022H-1111100,20210909,1
J07v01-Semaine-1-2022H-1111100,20210909,1
J08v01-Semaine-1-2022H-1111100,20210909,1
J09v01-Semaine-1-2022H-1111100,20210909,1
J10v01-Semaine-1-2022H-1111100,20210909,1
J11v01-Semaine-1-2022H-1111100,20210909,1
J12v01-Semaine-1-2022H-1111100,20210909,1
J14v01-Semaine-1-2022H-1111100,20210909,1
N01s01-Lun-Sam-1-2022H-0001110,20210909,1
N01s01-Lun-Sam-1-2022H-1111110,20210909,1
N02s01-Lun-Sam-1-2022H-1111110,20210909,1
N03s01-Lun-Sam-1-2022H-1111110,20210909,1
NUIT_01-7-jours-1-2022H-0001000,20210909,1
NUIT_01-7-jours-1-2022H-0001100,20210909,1
SCOL2122-Semaine-9-SCOL17-0001000,20210909,1
SCOL2122-Semaine-9-SCOL17-0111100,20210909,1
SCOL2122-Semaine-9-SCOL17-1101100,20210909,1
SCOL2122-Semaine-9-SCOL17-1111000,20210909,1
SCOL2122-Semaine-9-SCOL17-1111100,20210909,1
L_13PS21-Semaine-31-SUB2021-1111100,20210909,1
L_15PS21-Semaine-31-SUB2021-1111100,20210909,1
L_30PS21-Lun-Sam-31-SUB2021-1111100,20210909,1
L_30PS21-Lun-Sam-31-SUB2021-1111110,20210909,1
L_31PS21-Lun-Sam-31-SUB2021-1111100,20210909,1
L_31PS21-Lun-Sam-31-SUB2021-1111110,20210909,1
L_32PS21-Lun-Sam-31-SUB2021-1111100,20210909,1
L_32PS21-Lun-Sam-31-SUB2021-1111110,20210909,1
L_33PS21-Lun-Sam-31-SUB2021-1101100,20210909,1
L_33PS21-Lun-Sam-31-SUB2021-1111100,20210909,1
L_33PS21-Lun-Sam-31-SUB2021-1111110,20210909,1
L_34PS21-Lun-Sam-31-SUB2021-1111100,20210909,1
L_34PS21-Lun-Sam-31-SUB2021-1111110,20210909,1
L_35PS21-Lun-Sam-31-SUB2021-1101100,20210909,1
L_35PS21-Lun-Sam-31-SUB2021-1111100,20210909,1
L_35PS21-Lun-Sam-31-SUB2021-1111110,20210909,1
L_36PS21-Lun-Sam-31-SUB2021-1101100,20210909,1
L_36PS21-Lun-Sam-31-SUB2021-1111100,20210909,1
L_36PS21-Lun-Sam-31-SUB2021-1111110,20210909,1
L_37PS21-Lun-Sam-31-SUB2021-1111100,20210909,1
L_37PS21-Lun-Sam-31-SUB2021-1111110,20210909,1
L_38PS21-Lun-Sam-31-SUB2021-1101100,20210909,1
L_38PS21-Lun-Sam-31-SUB2021-1111100,20210909,1
L_38PS21-Lun-Sam-31-SUB2021-1111110,20210909,1
L_39PS21-Lun-Sam-31-SUB2021-1101100,20210909,1
L_39PS21-Lun-Sam-31-SUB2021-1111100,20210909,1
L_39PS21-Lun-Sam-31-SUB2021-1111110,20210909,1
L_41PS21-Lun-Sam-31-SUB2021-1111100,20210909,1
L_41PS21-Lun-Sam-31-SUB2021-1111110,20210909,1
L_42PS21-Lun-Sam-31-SUB2021-1111100,20210909,1
L_42PS21-Lun-Sam-31-SUB2021-1111110,20210909,1
L_43PS21-Lun-Sam-31-SUB2021-1101100,20210909,1
L_43PS21-Lun-Sam-31-SUB2021-1111100,20210909,1
L_43PS21-Lun-Sam-31-SUB2021-1111110,20210909,1
L_44PS21-Lun-Sam-31-SUB2021-1101100,20210909,1
L_44PS21-Lun-Sam-31-SUB2021-1111100,20210909,1
L_44PS21-Lun-Sam-31-SUB2021-1111110,20210909,1
L_45PS21-Lun-Sam-31-SUB2021-1111100,20210909,1
L_45PS21-Lun-Sam-31-SUB2021-1111110,20210909,1
L_46PS21-Semaine-31-SUB2021-1111100,20210909,1
Taxi_ls-Lun-Sam-1-SCOL17-1111110,20210909,1
BALA_01-L-Ma-J-V-1-SCOL17-1111100,20210910,1
J_A21v01-Semaine-1-2022H-1111100,20210910,1
J01v01-Semaine-1-2022H-1111100,20210910,1
J02v01-Semaine-1-2022H-1111100,20210910,1
J03v01-Semaine-1-2022H-1111100,20210910,1
J04v01-Semaine-1-2022H-1111100,20210910,1
J05v01-Semaine-1-2022H-1111100,20210910,1
J06v01-Semaine-1-2022H-1111100,20210910,1
J07v01-Semaine-1-2022H-1111100,20210910,1
J08v01-Semaine-1-2022H-1111100,20210910,1
J09v01-Semaine-1-2022H-1111100,20210910,1
J10v01-Semaine-1-2022H-1111100,20210910,1
J11v01-Semaine-1-2022H-1111100,20210910,1
J12v01-Semaine-1-2022H-1111100,20210910,1
J14v01-Semaine-1-2022H-1111100,20210910,1
N01s01-Lun-Sam-1-2022H-0001110,20210910,1
N01s01-Lun-Sam-1-2022H-1111110,20210910,1
N02s01-Lun-Sam-1-2022H-1111110,20210910,1
N03s01-Lun-Sam-1-2022H-1111110,20210910,1
NUIT_01-7-jours-1-2022H-0000100,20210910,1
NUIT_01-7-jours-1-2022H-0000110,20210910,1
NUIT_01-7-jours-1-2022H-0001100,20210910,1
SCOL2122-Semaine-9-SCOL17-0000100,20210910,1
SCOL2122-Semaine-9-SCOL17-0010100,20210910,1
SCOL2122-Semaine-9-SCOL17-0111100,20210910,1
SCOL2122-Semaine-9-SCOL17-1100100,20210910,1
SCOL2122-Semaine-9-SCOL17-1101100,20210910,1
SCOL2122-Semaine-9-SCOL17-1111100,20210910,1
L_13PS21-Semaine-31-SUB2021-1111100,20210910,1
L_15PS21-Semaine-31-SUB2021-1111100,20210910,1
L_30PS21-Lun-Sam-31-SUB2021-1111100,20210910,1
L_30PS21-Lun-Sam-31-SUB2021-1111110,20210910,1
L_31PS21-Lun-Sam-31-SUB2021-1111100,20210910,1
L_31PS21-Lun-Sam-31-SUB2021-1111110,20210910,1
L_32PS21-Lun-Sam-31-SUB2021-1111100,20210910,1
L_32PS21-Lun-Sam-31-SUB2021-1111110,20210910,1
L_33PS21-Lun-Sam-31-SUB2021-1101100,20210910,1
L_33PS21-Lun-Sam-31-SUB2021-1111100,20210910,1
L_33PS21-Lun-Sam-31-SUB2021-1111110,20210910,1
L_34PS21-Lun-Sam-31-SUB2021-1111100,20210910,1
L_34PS21-Lun-Sam-31-SUB2021-1111110,20210910,1
L_35PS21-Lun-Sam-31-SUB2021-1101100,20210910,1
L_35PS21-Lun-Sam-31-SUB2021-1111100,20210910,1
L_35PS21-Lun-Sam-31-SUB2021-1111110,20210910,1
L_36PS21-Lun-Sam-31-SUB2021-1101100,20210910,1
L_36PS21-Lun-Sam-31-SUB2021-1111100,20210910,1
L_36PS21-Lun-Sam-31-SUB2021-1111110,20210910,1
L_37PS21-Lun-Sam-31-SUB2021-1111100,20210910,1
L_37PS21-Lun-Sam-31-SUB2021-1111110,20210910,1
L_38PS21-Lun-Sam-31-SUB2021-1101100,20210910,1
L_38PS21-Lun-Sam-31-SUB2021-1111100,20210910,1
L_38PS21-Lun-Sam-31-SUB2021-1111110,20210910,1
L_39PS21-Lun-Sam-31-SUB2021-0000100,20210910,1
L_39PS21-Lun-Sam-31-SUB2021-1101100,20210910,1
L_39PS21-Lun-Sam-31-SUB2021-1111100,20210910,1
L_39PS21-Lun-Sam-31-SUB2021-1111110,20210910,1
L_41PS21-Lun-Sam-31-SUB2021-1111100,20210910,1
L_41PS21-Lun-Sam-31-SUB2021-1111110,20210910,1
L_42PS21-Lun-Sam-31-SUB2021-1111100,20210910,1
L_42PS21-Lun-Sam-31-SUB2021-1111110,20210910,1
L_43PS21-Lun-Sam-31-SUB2021-1101100,20210910,1
L_43PS21-Lun-Sam-31-SUB2021-1111100,20210910,1
L_43PS21-Lun-Sam-31-SUB2021-1111110,20210910,1
L_44PS21-Lun-Sam-31-SUB2021-1101100,20210910,1
L_44PS21-Lun-Sam-31-SUB2021-1111100,20210910,1
L_44PS21-Lun-Sam-31-SUB2021-1111110,20210910,1
L_45PS21-Lun-Sam-31-SUB2021-1111100,20210910,1
L_45PS21-Lun-Sam-31-SUB2021-1111110,20210910,1
L_46PS21-Semaine-31-SUB2021-1111100,20210910,1
Taxi_ls-Lun-Sam-1-SCOL17-1111110,20210910,1
BALA_02-Samedi-2-SCOL17-0000010,20210911,1
LS_Av21-Lun-Sam-61-2022H-1111110,20210911,1
LS01v21-Lun-Sam-61-2022H-1111110,20210911,1
LS02v21-Lun-Sam-61-2022H-1111110,20210911,1
LS03v21-Lun-Sam-61-2022H-1111110,20210911,1
LS04v21-Lun-Sam-61-2022H-1111110,20210911,1
LS05v21-Lun-Sam-61-2022H-1111110,20210911,1
LS06v21-Lun-Sam-61-2022H-0000010,20210911,1
LS06v21-Lun-Sam-61-2022H-1111110,20210911,1
LS07v21-Lun-Sam-61-2022H-0000010,20210911,1
LS07v21-Lun-Sam-61-2022H-1111110,20210911,1
LS08v21-Lun-Sam-61-2022H-1111110,20210911,1
LS09v21-Lun-Sam-61-2022H-0000010,20210911,1
LS09v21-Lun-Sam-61-2022H-1111110,20210911,1
LS10v21-Lun-Sam-61-2022H-0000010,20210911,1
LS10v21-Lun-Sam-61-2022H-1111110,20210911,1
LS11v21-Lun-Sam-61-2022H-0000010,20210911,1
LS11v21-Lun-Sam-61-2022H-1111110,20210911,1
LS12v21-Lun-Sam-61-2022H-1111110,20210911,1
